latitude,longitude
23.41342871,84.84851194
23.40448669,84.85668499
23.39626498,84.83623406
23.42106696,84.81933211
23.41468898,84.83570853
23.38455097,84.8158333
23.42487988,84.83573213
23.41782604,84.81019209
23.41099306,84.82455408
23.42435066,84.83103952
23.41776815,84.83568729
23.4150577,84.83326749
23.40002699,84.82393399
23.39770742,84.81427871
23.42541091,84.82949317
23.38530592,84.83073713
23.37935343,84.80548435
23.3913674,84.8051317
23.40426139,84.8280769
23.39092915,84.85352949
23.39093986,84.81171181
23.39138024,84.82276742
23.42142239,84.81047312
23.41530881,84.84766561
23.38953634,84.81370788
23.41732232,84.8555546
23.39884684,84.8178279
23.40783212,84.8535865
23.40424881,84.80853203
23.39118456,84.83187757
23.39808518,84.80552281
23.38476906,84.8297906
23.42000742,84.82016416
23.4158031,84.82571646
23.39648994,84.814342
23.38738097,84.81503028
23.42259356,84.85310801
23.38954097,84.82196223
23.41918287,84.85216557
23.37930475,84.84866846
23.42111419,84.84758681
23.42489655,84.84468861
23.38182549,84.82029806
23.39086877,84.85357684
23.39734081,84.84683033
23.41609542,84.80553157
23.4143062,84.85083126
23.39619197,84.83004648
23.40612575,84.82600421
23.41168679,84.80484858
23.40536479,84.81276896
23.42534556,84.85026391
23.4226561,84.85250075
23.38319436,84.80395201
23.39076472,84.85048116
23.42400549,84.85535036
23.39355869,84.80994596
23.39667432,84.85241155
23.42610436,84.80854448
23.42204874,84.84525198
23.39932773,84.84690207
23.38066338,84.80778635
23.40804704,84.84421895
23.39160724,84.80855787
23.38292904,84.85443591
23.41502621,84.8480519
23.41341674,84.85235766
23.3943382,84.85179832
23.39818004,84.81782377
23.3834305,84.8186839
23.39823118,84.8089501
23.42693236,84.8324877
23.41670476,84.84092432
23.3870639,84.81604222
23.38914579,84.82968728
23.38586174,84.84421982
23.4064418,84.81991585
23.38813991,84.81581744
23.39016775,84.82575569
23.39736494,84.82229048
23.38103595,84.84566988
23.4246733,84.82638139
23.41235092,84.83435059
23.41343789,84.81513124
23.41498393,84.82457214
23.41424809,84.81274151
23.38940447,84.8536072
23.40114473,84.84948306
23.41842495,84.80689374
23.41910996,84.82435489
23.38859555,84.84366922
23.39780534,84.81163354
23.41540279,84.844353
23.39409944,84.83435616
23.41487306,84.85110012
23.40045561,84.84934481
23.38716876,84.81393922
23.38100394,84.84532114
23.38636235,84.84912946
23.40723057,84.80740834
23.40642973,84.83105326
23.40272308,84.82760736
23.4114875,84.85520867
23.42347276,84.85550344
23.38418428,84.84676971
23.39808157,84.84899294
23.42436734,84.8175056
23.3796717,84.85470791
23.41153819,84.84547453
23.38131911,84.84887279
23.41190281,84.83877
23.40244951,84.81168766
23.42659041,84.85697285
23.40147359,84.84273304
23.38345231,84.83037611
23.41318443,84.81185621
23.39628366,84.83016856
23.39096205,84.81532816
23.39846643,84.85593811
23.42648918,84.82549403
23.41270339,84.84804946
23.38884457,84.81079465
23.41866859,84.82122581
23.40839611,84.82036604
23.40584476,84.80512613
23.42711436,84.85312451
23.40847502,84.81608392
23.39787336,84.83635111
23.4239329,84.81115521
23.41904028,84.81936549
23.39530364,84.82958028
23.4110164,84.85338396
23.41287307,84.85068978
23.39255513,84.82074731
23.38716519,84.80940469
23.40642872,84.85554727
23.4270343,84.84257062
23.39622843,84.85253623
23.38250734,84.84753788
23.41964567,84.80472227
23.38927602,84.84763281
23.40184697,84.80711236
23.3934603,84.85623483
23.42176778,84.80858435
